timestamp,open,high,low,close,volume
1739925120000.0,95447.05,95484.76,95447.04,95452.89,8.34119
1739925180000.0,95452.89,95508.0,95452.89,95494.17,6.28263
1739925240000.0,95494.17,95509.44,95494.16,95509.44,7.28079
1739925300000.0,95509.43,95587.64,95509.43,95587.63,3.94721
1739925360000.0,95587.63,95600.0,95553.29,95553.3,9.58461
1739925420000.0,95553.3,95599.99,95553.29,95588.65,4.72236
1739925480000.0,95588.66,95619.77,95588.65,95619.77,1.85132
1739925540000.0,95619.77,95634.71,95559.86,95559.86,6.44287
1739925600000.0,95559.86,95560.87,95531.35,95544.83,5.3625
1739925660000.0,95544.82,95544.83,95456.81,95456.82,5.66888
1739925720000.0,95456.82,95486.61,95456.81,95486.61,5.19775
1739925780000.0,95486.62,95490.63,95481.08,95486.18,2.43956
1739925840000.0,95486.18,95500.0,95486.17,95499.99,4.83653
1739925900000.0,95499.99,95503.08,95486.04,95491.77,3.74627
1739925960000.0,95491.77,95578.26,95491.76,95566.77,3.43992
1739926020000.0,95566.76,95577.02,95558.01,95577.01,6.98791
1739926080000.0,95577.01,95577.02,95562.03,95562.04,3.54313
1739926140000.0,95562.04,95562.04,95562.03,95562.03,0.41802
1739926200000.0,95562.04,95566.53,95562.03,95566.52,1.78052
1739926260000.0,95566.52,95584.91,95538.19,95584.9,3.67753
1739926320000.0,95584.91,95586.75,95584.9,95586.74,1.3402
1739926380000.0,95586.74,95586.75,95546.75,95546.75,2.42147
1739926440000.0,95546.75,95546.76,95439.05,95443.74,8.4281
1739926500000.0,95443.74,95443.76,95386.82,95398.98,6.51334
1739926560000.0,95398.98,95398.99,95309.49,95314.78,26.38151
1739926620000.0,95314.77,95335.07,95279.94,95299.99,31.743
1739926680000.0,95300.0,95342.67,95299.99,95342.66,6.46116
1739926740000.0,95342.66,95342.67,95303.56,95330.15,3.16572
1739926800000.0,95330.15,95364.62,95330.14,95364.62,6.8955
1739926860000.0,95364.62,95373.46,95307.04,95309.2,5.28671
1739926920000.0,95309.2,95316.83,95262.44,95305.77,4.00537
1739926980000.0,95305.77,95306.87,95238.67,95238.67,3.2749
1739927040000.0,95238.68,95264.18,95238.67,95264.17,7.045
1739927100000.0,95264.17,95308.71,95257.54,95298.93,7.19957
1739927160000.0,95298.93,95303.64,95274.24,95281.41,3.64831
1739927220000.0,95281.41,95291.36,95274.35,95275.81,2.9267
1739927280000.0,95275.81,95300.0,95245.16,95300.0,6.06158
1739927340000.0,95300.0,95313.15,95300.0,95305.66,4.20472
1739927400000.0,95305.66,95328.3,95305.66,95309.07,11.64647
1739927460000.0,95309.07,95335.41,95293.98,95335.41,5.75268
1739927520000.0,95335.41,95358.5,95323.42,95358.5,4.49341
1739927580000.0,95358.49,95358.84,95345.88,95345.89,4.7581
1739927640000.0,95345.89,95345.89,95215.01,95215.01,16.29205
1739927700000.0,95215.01,95217.31,95095.25,95112.01,19.82013
1739927760000.0,95112.01,95167.6,95112.0,95157.97,26.92778
1739927820000.0,95157.97,95169.82,95133.75,95144.66,5.62277
1739927880000.0,95144.67,95151.99,95055.0,95069.07,12.94858
1739927940000.0,95069.08,95131.03,95069.08,95107.25,18.58345
1739928000000.0,95107.25,95131.04,95075.06,95120.92,14.64474
1739928060000.0,95120.91,95169.6,95120.91,95146.01,5.29992
1739928120000.0,95146.01,95175.2,95146.01,95175.2,2.13102
1739928180000.0,95175.19,95175.19,95077.81,95089.1,4.8474
1739928240000.0,95089.1,95106.67,95057.43,95064.33,6.00598
1739928300000.0,95064.33,95076.84,95058.03,95063.43,6.75069
1739928360000.0,95063.43,95074.91,95058.34,95073.98,1.91027
1739928420000.0,95073.99,95116.62,95073.98,95116.61,3.6393
1739928480000.0,95116.62,95146.69,95116.61,95146.69,6.18505
1739928540000.0,95146.69,95200.0,95146.68,95199.99,7.67541
1739928600000.0,95199.99,95229.98,95163.78,95167.98,18.73464
1739928660000.0,95167.99,95178.35,95145.79,95175.71,4.0603
1739928720000.0,95175.7,95256.22,95175.7,95211.71,12.30776
1739928780000.0,95211.7,95211.7,95145.44,95179.16,10.86753
1739928840000.0,95179.16,95198.97,95152.01,95198.96,3.27799
